conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e,acheteur d’espaces publicitaires/acheteuse d’espaces publicitaires,acheteur d'espaces publicitaires|acheteuse d'espaces publicitaires
http://data.europa.eu/esco/occupation/47c27a07-4657-42b7-adee-d805902c1ff8,conducteur de drague/conductrice de drague,conductrice de drague|conducteur de drague
http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,chargé du marketing/chargée du marketing,directeur du marketing|chargé du marketing|chargée du marketing|directrice du marketing|directeur du marketing/directrice du marketing|responsable mercaticien|responsable mercaticienne|responsable mercaticien/responsable mercaticienne
http://data.europa.eu/esco/occupation/45a28fe1-30a4-4175-af19-e451ada60858,directeur de caisse de crédit mutuel/directrice de caisse de crédit mutuel,directrice de coopérative de crédit|directeur de coopérative de crédit|directeur de banque mutualiste|directrice de banque coopérative|directeur de banque coopérative|directrice de banque mutualiste|directeur de caisse de crédit mutuel|directrice de caisse de crédit mutuel
http://data.europa.eu/esco/occupation/47300afa-5496-484c-8f65-14247a98b2b8,ouvrier génie civil/ouvrière génie civil,ouvrier génie civil|ouvrière génie civil
http://data.europa.eu/esco/occupation/491cf76d-eb0d-4f15-90f0-3f5c9b11472a,ingénieur assurance qualité en jeux de hasard et pari/ingénieure assurance qualité en jeux de hasard et pari,ingénieure assurance qualité en jeux de hasard et pari|ingénieur assurance qualité en jeux de hasard et pari
http://data.europa.eu/esco/occupation/46db7e2e-d44d-412a-9a80-02d43111aca8,formateur en photographie/formatrice en photographie,formateur en photographie|formatrice en photographie
http://data.europa.eu/esco/occupation/461959ed-6a80-4c33-a75e-26aaeb52a5a7,technicien en systèmes de drainage/technicienne en systèmes de drainage,technicien en systèmes de drainage|technicienne en systèmes de drainage
http://data.europa.eu/esco/occupation/47dd863b-b124-4bb1-bb42-a9498492a8cb,ingénieur combustibles liquides/ingénieure combustibles liquides,ingénieure combustibles liquides|ingénieur combustibles liquides
http://data.europa.eu/esco/occupation/47ae3ed9-e03c-450e-9ea8-aab317545adc,pilote de salle de contrôle d’installation de traitement de gaz,
http://data.europa.eu/esco/occupation/4887c8a5-35d3-44c3-be69-346027e485f0,responsable des loisirs,directrice des services d’accueil et de divertissement|responsable des services d’accueil et de divertissement|directrice des loisirs|directeur des loisirs|directeur des services d’accueil et de divertissement
http://data.europa.eu/esco/occupation/463558cd-6e02-43a8-a675-d4e65af70431,conseiller en herboristerie/conseillère en herboristerie,intervenante en iridologie|intervenant en iridologie|conseillère en herboristerie|conseiller en herboristerie|herboriste|intervenant en phytothérapie|conseillère en naturopathie|intervenante en phytothérapie|conseiller en naturopathie
http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,enseignant-chercheur en communication/enseignante-chercheuse en communication,enseignante-chercheuse en communication|enseignant-chercheur en communication
http://data.europa.eu/esco/occupation/489b9a38-89a2-425c-95b9-79cec66379e1,pédicure,
http://data.europa.eu/esco/occupation/4779055b-f769-4c6d-8e0e-088bb74cfce9,agent d'entretien en piscine/agente d'entretien en piscine,agente d'entretien en piscine|agent d'entretien en piscine
http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,enseignant-chercheur en journalisme/enseignante-chercheuse en journalisme,enseignante-chercheuse en journalisme|enseignant-chercheur en journalisme
http://data.europa.eu/esco/occupation/4874fa37-0cd1-4a68-aed8-a838851f242d,linguiste informaticien/linguiste informaticienne,linguiste informaticienne|linguiste informaticien
http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be,technicien matériel de location/technicienne matériel de location,technicienne matériel de location|technicien matériel de location
