conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,
http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,utiliser une boule de démolition,
http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,exécuter des tâches administratives à bord de petits navires,
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,donner des conseils sur les matériaux de construction,
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,utiliser des machines de conditionnement,
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,entretenir des équipements de tri sélectif,
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,inspecter des installations offshore,
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,évaluer des opérations ferroviaires,
http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,pomper des produits pour stockage,
http://data.europa.eu/esco/skill/01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,gérer des bénévoles dans un magasin d’occasion,
http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,sciences biomédicales,
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,organiser le travail,
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,pratiquer des sports extrêmes,
http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,entretenir des équipements rotatifs,
http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,transporter un patient vers un établissement médical,
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,contrôler un fluide de forage,
http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,fournir un accompagnateur pour des enfants sur un plateau,
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,procéder à l’achat de pièces,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,acheter des fournitures,
http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,demander un remboursement,
